Namespace(graph=True, log=True, mnh=True, steps=10000)
Hidden layer number of features: 512
This fold's validation data contains examples from following classes: [ 3.  7.  3.  7.  5.  3.  3.  7.  4.  8.  4.  2.  6.  2.  8.]
Training: Step 1, Minibatch Loss= 4.7522, Training Accuracy= 26.000
Validation: Step 8300, Minibatch Loss= 1.1352, Training Accuracy= 66.667
Training: Step 8350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8350, Minibatch Loss= 1.1374, Training Accuracy= 60.000
Training: Step 8400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8400, Minibatch Loss= 1.1391, Training Accuracy= 66.667
Training: Step 8450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8450, Minibatch Loss= 1.1448, Training Accuracy= 60.000
Training: Step 8500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8500, Minibatch Loss= 1.1524, Training Accuracy= 60.000
Training: Step 8550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8550, Minibatch Loss= 1.1552, Training Accuracy= 60.000
Training: Step 8600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8600, Minibatch Loss= 1.1536, Training Accuracy= 66.667
Training: Step 8650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8650, Minibatch Loss= 1.1541, Training Accuracy= 66.667
Training: Step 8700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8700, Minibatch Loss= 1.1548, Training Accuracy= 66.667
Training: Step 8750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8750, Minibatch Loss= 1.1553, Training Accuracy= 66.667
Training: Step 8800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8800, Minibatch Loss= 1.1648, Training Accuracy= 66.667
Training: Step 8850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8850, Minibatch Loss= 1.1666, Training Accuracy= 60.000
Training: Step 8900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8900, Minibatch Loss= 1.1695, Training Accuracy= 66.667
Training: Step 8950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 8950, Minibatch Loss= 1.1679, Training Accuracy= 66.667
Training: Step 9000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9000, Minibatch Loss= 1.1629, Training Accuracy= 66.667
Training: Step 9050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9050, Minibatch Loss= 1.1601, Training Accuracy= 66.667
Training: Step 9100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9100, Minibatch Loss= 1.1679, Training Accuracy= 66.667
Training: Step 9150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9150, Minibatch Loss= 1.1684, Training Accuracy= 66.667
Training: Step 9200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9200, Minibatch Loss= 1.1720, Training Accuracy= 66.667
Training: Step 9250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9250, Minibatch Loss= 1.1748, Training Accuracy= 66.667
Training: Step 9300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9300, Minibatch Loss= 1.1754, Training Accuracy= 66.667
Training: Step 9350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9350, Minibatch Loss= 1.1757, Training Accuracy= 66.667
Training: Step 9400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9400, Minibatch Loss= 1.1792, Training Accuracy= 66.667
Training: Step 9450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9450, Minibatch Loss= 1.1839, Training Accuracy= 66.667
Training: Step 9500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9500, Minibatch Loss= 1.1823, Training Accuracy= 66.667
Training: Step 9550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9550, Minibatch Loss= 1.1788, Training Accuracy= 66.667
Training: Step 9600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9600, Minibatch Loss= 1.1806, Training Accuracy= 66.667
Training: Step 9650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9650, Minibatch Loss= 1.1833, Training Accuracy= 66.667
Training: Step 9700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9700, Minibatch Loss= 1.1858, Training Accuracy= 66.667
Training: Step 9750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9750, Minibatch Loss= 1.1854, Training Accuracy= 66.667
Training: Step 9800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9800, Minibatch Loss= 1.1861, Training Accuracy= 66.667
Training: Step 9850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9850, Minibatch Loss= 1.1885, Training Accuracy= 66.667
Training: Step 9900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9900, Minibatch Loss= 1.1893, Training Accuracy= 66.667
Training: Step 9950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 9950, Minibatch Loss= 1.1876, Training Accuracy= 66.667
Training: Step 10000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 10000, Minibatch Loss= 1.1856, Training Accuracy= 66.667
Optimization Finished!
This fold's validation data contains examples from following classes: [ 8.  3.  5.  2.  7.  1.  7.  2.  6.  1.  6.  5.  3.  3.  6.]
Training: Step 1, Minibatch Loss= 3.2947, Training Accuracy= 44.000
Validation: Step 1, Minibatch Loss= 7.2431, Training Accuracy= 13.333
Training: Step 50, Minibatch Loss= 0.0158, Training Accuracy= 100.000
Validation: Step 50, Minibatch Loss= 1.1987, Training Accuracy= 60.000
Training: Step 100, Minibatch Loss= 0.0030, Training Accuracy= 100.000
Validation: Step 100, Minibatch Loss= 1.2288, Training Accuracy= 60.000
Training: Step 150, Minibatch Loss= 0.0013, Training Accuracy= 100.000
Validation: Step 150, Minibatch Loss= 1.3102, Training Accuracy= 60.000
Training: Step 200, Minibatch Loss= 0.0009, Training Accuracy= 100.000
Validation: Step 200, Minibatch Loss= 1.3286, Training Accuracy= 60.000
Training: Step 250, Minibatch Loss= 0.0006, Training Accuracy= 100.000
Validation: Step 250, Minibatch Loss= 1.3424, Training Accuracy= 60.000
Training: Step 300, Minibatch Loss= 0.0006, Training Accuracy= 100.000
Validation: Step 300, Minibatch Loss= 1.3433, Training Accuracy= 60.000
Training: Step 350, Minibatch Loss= 0.0005, Training Accuracy= 100.000
Validation: Step 350, Minibatch Loss= 1.3334, Training Accuracy= 60.000
Training: Step 400, Minibatch Loss= 0.0004, Training Accuracy= 100.000
Validation: Step 400, Minibatch Loss= 1.3193, Training Accuracy= 60.000
Training: Step 450, Minibatch Loss= 0.0003, Training Accuracy= 100.000
Validation: Step 450, Minibatch Loss= 1.3686, Training Accuracy= 60.000
Training: Step 500, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 500, Minibatch Loss= 1.3866, Training Accuracy= 60.000
Training: Step 550, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 550, Minibatch Loss= 1.4195, Training Accuracy= 60.000
Training: Step 600, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 600, Minibatch Loss= 1.4304, Training Accuracy= 60.000
Training: Step 650, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 650, Minibatch Loss= 1.4476, Training Accuracy= 60.000
Training: Step 700, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 700, Minibatch Loss= 1.4429, Training Accuracy= 60.000
Training: Step 750, Minibatch Loss= 0.0002, Training Accuracy= 100.000
Validation: Step 750, Minibatch Loss= 1.4614, Training Accuracy= 60.000
Training: Step 800, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 800, Minibatch Loss= 1.4705, Training Accuracy= 60.000
Training: Step 850, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 850, Minibatch Loss= 1.4910, Training Accuracy= 60.000
Training: Step 900, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 900, Minibatch Loss= 1.5009, Training Accuracy= 60.000
Training: Step 950, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 950, Minibatch Loss= 1.5061, Training Accuracy= 60.000
Training: Step 1000, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1000, Minibatch Loss= 1.5253, Training Accuracy= 60.000
Training: Step 1050, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1050, Minibatch Loss= 1.5326, Training Accuracy= 60.000
Training: Step 1100, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1100, Minibatch Loss= 1.5422, Training Accuracy= 60.000
Training: Step 1150, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1150, Minibatch Loss= 1.5595, Training Accuracy= 60.000
Training: Step 1200, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1200, Minibatch Loss= 1.5690, Training Accuracy= 60.000
Training: Step 1250, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1250, Minibatch Loss= 1.5729, Training Accuracy= 60.000
Training: Step 1300, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1300, Minibatch Loss= 1.5913, Training Accuracy= 60.000
Training: Step 1350, Minibatch Loss= 0.0001, Training Accuracy= 100.000
Validation: Step 1350, Minibatch Loss= 1.5872, Training Accuracy= 60.000
Training: Step 1400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1400, Minibatch Loss= 1.6016, Training Accuracy= 60.000
Training: Step 1450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1450, Minibatch Loss= 1.6059, Training Accuracy= 60.000
Training: Step 1500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1500, Minibatch Loss= 1.6136, Training Accuracy= 60.000
Training: Step 1550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1550, Minibatch Loss= 1.6243, Training Accuracy= 60.000
Training: Step 1600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1600, Minibatch Loss= 1.6460, Training Accuracy= 60.000
Training: Step 1650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1650, Minibatch Loss= 1.6376, Training Accuracy= 60.000
Training: Step 1700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1700, Minibatch Loss= 1.6470, Training Accuracy= 60.000
Training: Step 1750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1750, Minibatch Loss= 1.6481, Training Accuracy= 60.000
Training: Step 1800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1800, Minibatch Loss= 1.6555, Training Accuracy= 60.000
Training: Step 1850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1850, Minibatch Loss= 1.6646, Training Accuracy= 60.000
Training: Step 1900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1900, Minibatch Loss= 1.6646, Training Accuracy= 60.000
Training: Step 1950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 1950, Minibatch Loss= 1.6728, Training Accuracy= 60.000
Training: Step 2000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2000, Minibatch Loss= 1.6764, Training Accuracy= 60.000
Training: Step 2050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2050, Minibatch Loss= 1.6854, Training Accuracy= 60.000
Training: Step 2100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2100, Minibatch Loss= 1.6869, Training Accuracy= 60.000
Training: Step 2150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2150, Minibatch Loss= 1.7037, Training Accuracy= 60.000
Training: Step 2200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2200, Minibatch Loss= 1.7047, Training Accuracy= 60.000
Training: Step 2250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2250, Minibatch Loss= 1.7030, Training Accuracy= 60.000
Training: Step 2300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2300, Minibatch Loss= 1.7104, Training Accuracy= 60.000
Training: Step 2350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2350, Minibatch Loss= 1.7179, Training Accuracy= 60.000
Training: Step 2400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2400, Minibatch Loss= 1.7183, Training Accuracy= 60.000
Training: Step 2450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2450, Minibatch Loss= 1.7239, Training Accuracy= 60.000
Training: Step 2500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2500, Minibatch Loss= 1.7308, Training Accuracy= 60.000
Training: Step 2550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2550, Minibatch Loss= 1.7370, Training Accuracy= 60.000
Training: Step 2600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2600, Minibatch Loss= 1.7414, Training Accuracy= 60.000
Training: Step 2650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2650, Minibatch Loss= 1.7486, Training Accuracy= 60.000
Training: Step 2700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2700, Minibatch Loss= 1.7435, Training Accuracy= 60.000
Training: Step 2750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2750, Minibatch Loss= 1.7496, Training Accuracy= 60.000
Training: Step 2800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2800, Minibatch Loss= 1.7528, Training Accuracy= 60.000
Training: Step 2850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2850, Minibatch Loss= 1.7582, Training Accuracy= 60.000
Training: Step 2900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2900, Minibatch Loss= 1.7637, Training Accuracy= 60.000
Training: Step 2950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 2950, Minibatch Loss= 1.7609, Training Accuracy= 60.000
Training: Step 3000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3000, Minibatch Loss= 1.7680, Training Accuracy= 60.000
Training: Step 3050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3050, Minibatch Loss= 1.7695, Training Accuracy= 60.000
Training: Step 3100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3100, Minibatch Loss= 1.7691, Training Accuracy= 60.000
Training: Step 3150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3150, Minibatch Loss= 1.7734, Training Accuracy= 60.000
Training: Step 3200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3200, Minibatch Loss= 1.7776, Training Accuracy= 60.000
Training: Step 3250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3250, Minibatch Loss= 1.7833, Training Accuracy= 60.000
Training: Step 3300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3300, Minibatch Loss= 1.7812, Training Accuracy= 60.000
Training: Step 3350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3350, Minibatch Loss= 1.7899, Training Accuracy= 60.000
Training: Step 3400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3400, Minibatch Loss= 1.7882, Training Accuracy= 60.000
Training: Step 3450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3450, Minibatch Loss= 1.7977, Training Accuracy= 60.000
Training: Step 3500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3500, Minibatch Loss= 1.8061, Training Accuracy= 60.000
Training: Step 3550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3550, Minibatch Loss= 1.8074, Training Accuracy= 60.000
Training: Step 3600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3600, Minibatch Loss= 1.8087, Training Accuracy= 60.000
Training: Step 3650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3650, Minibatch Loss= 1.8062, Training Accuracy= 60.000
Training: Step 3700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3700, Minibatch Loss= 1.8118, Training Accuracy= 60.000
Training: Step 3750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3750, Minibatch Loss= 1.8219, Training Accuracy= 60.000
Training: Step 3800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3800, Minibatch Loss= 1.8290, Training Accuracy= 60.000
Training: Step 3850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3850, Minibatch Loss= 1.8361, Training Accuracy= 60.000
Training: Step 3900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3900, Minibatch Loss= 1.8364, Training Accuracy= 60.000
Training: Step 3950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 3950, Minibatch Loss= 1.8382, Training Accuracy= 60.000
Training: Step 4000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4000, Minibatch Loss= 1.8402, Training Accuracy= 60.000
Training: Step 4050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4050, Minibatch Loss= 1.8459, Training Accuracy= 60.000
Training: Step 4100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4100, Minibatch Loss= 1.8508, Training Accuracy= 60.000
Training: Step 4150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4150, Minibatch Loss= 1.8553, Training Accuracy= 60.000
Training: Step 4200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4200, Minibatch Loss= 1.8590, Training Accuracy= 60.000
Training: Step 4250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4250, Minibatch Loss= 1.8619, Training Accuracy= 60.000
Training: Step 4300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4300, Minibatch Loss= 1.8631, Training Accuracy= 60.000
Training: Step 4350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4350, Minibatch Loss= 1.8580, Training Accuracy= 60.000
Training: Step 4400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4400, Minibatch Loss= 1.8647, Training Accuracy= 60.000
Training: Step 4450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4450, Minibatch Loss= 1.8627, Training Accuracy= 60.000
Training: Step 4500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4500, Minibatch Loss= 1.8695, Training Accuracy= 60.000
Training: Step 4550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4550, Minibatch Loss= 1.8710, Training Accuracy= 60.000
Training: Step 4600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4600, Minibatch Loss= 1.8722, Training Accuracy= 60.000
Training: Step 4650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4650, Minibatch Loss= 1.8804, Training Accuracy= 60.000
Training: Step 4700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4700, Minibatch Loss= 1.8852, Training Accuracy= 60.000
Training: Step 4750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4750, Minibatch Loss= 1.8914, Training Accuracy= 60.000
Training: Step 4800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4800, Minibatch Loss= 1.8885, Training Accuracy= 60.000
Training: Step 4850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4850, Minibatch Loss= 1.8881, Training Accuracy= 60.000
Training: Step 4900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4900, Minibatch Loss= 1.8940, Training Accuracy= 60.000
Training: Step 4950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 4950, Minibatch Loss= 1.8924, Training Accuracy= 60.000
Training: Step 5000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5000, Minibatch Loss= 1.8995, Training Accuracy= 60.000
Training: Step 5050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5050, Minibatch Loss= 1.9046, Training Accuracy= 66.667
Training: Step 5100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5100, Minibatch Loss= 1.9038, Training Accuracy= 66.667
Training: Step 5150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5150, Minibatch Loss= 1.9109, Training Accuracy= 60.000
Training: Step 5200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5200, Minibatch Loss= 1.9111, Training Accuracy= 66.667
Training: Step 5250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5250, Minibatch Loss= 1.9163, Training Accuracy= 66.667
Training: Step 5300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5300, Minibatch Loss= 1.9126, Training Accuracy= 66.667
Training: Step 5350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5350, Minibatch Loss= 1.9174, Training Accuracy= 66.667
Training: Step 5400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5400, Minibatch Loss= 1.9207, Training Accuracy= 66.667
Training: Step 5450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5450, Minibatch Loss= 1.9235, Training Accuracy= 66.667
Training: Step 5500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5500, Minibatch Loss= 1.9249, Training Accuracy= 66.667
Training: Step 5550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5550, Minibatch Loss= 1.9301, Training Accuracy= 66.667
Training: Step 5600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5600, Minibatch Loss= 1.9346, Training Accuracy= 66.667
Training: Step 5650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5650, Minibatch Loss= 1.9391, Training Accuracy= 66.667
Training: Step 5700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5700, Minibatch Loss= 1.9371, Training Accuracy= 66.667
Training: Step 5750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5750, Minibatch Loss= 1.9504, Training Accuracy= 66.667
Training: Step 5800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5800, Minibatch Loss= 1.9601, Training Accuracy= 66.667
Training: Step 5850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5850, Minibatch Loss= 1.9582, Training Accuracy= 66.667
Training: Step 5900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5900, Minibatch Loss= 1.9601, Training Accuracy= 66.667
Training: Step 5950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 5950, Minibatch Loss= 1.9653, Training Accuracy= 66.667
Training: Step 6000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6000, Minibatch Loss= 1.9682, Training Accuracy= 66.667
Training: Step 6050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6050, Minibatch Loss= 1.9694, Training Accuracy= 66.667
Training: Step 6100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6100, Minibatch Loss= 1.9668, Training Accuracy= 66.667
Training: Step 6150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6150, Minibatch Loss= 1.9702, Training Accuracy= 66.667
Training: Step 6200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6200, Minibatch Loss= 1.9720, Training Accuracy= 66.667
Training: Step 6250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6250, Minibatch Loss= 1.9799, Training Accuracy= 66.667
Training: Step 6300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6300, Minibatch Loss= 1.9815, Training Accuracy= 66.667
Training: Step 6350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6350, Minibatch Loss= 1.9823, Training Accuracy= 66.667
Training: Step 6400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6400, Minibatch Loss= 1.9861, Training Accuracy= 66.667
Training: Step 6450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6450, Minibatch Loss= 1.9906, Training Accuracy= 66.667
Training: Step 6500, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6500, Minibatch Loss= 1.9959, Training Accuracy= 66.667
Training: Step 6550, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6550, Minibatch Loss= 1.9996, Training Accuracy= 66.667
Training: Step 6600, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6600, Minibatch Loss= 2.0043, Training Accuracy= 66.667
Training: Step 6650, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6650, Minibatch Loss= 2.0039, Training Accuracy= 66.667
Training: Step 6700, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6700, Minibatch Loss= 2.0047, Training Accuracy= 66.667
Training: Step 6750, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6750, Minibatch Loss= 2.0056, Training Accuracy= 66.667
Training: Step 6800, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6800, Minibatch Loss= 2.0064, Training Accuracy= 66.667
Training: Step 6850, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6850, Minibatch Loss= 2.0100, Training Accuracy= 66.667
Training: Step 6900, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6900, Minibatch Loss= 2.0150, Training Accuracy= 66.667
Training: Step 6950, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 6950, Minibatch Loss= 2.0216, Training Accuracy= 66.667
Training: Step 7000, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7000, Minibatch Loss= 2.0217, Training Accuracy= 66.667
Training: Step 7050, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7050, Minibatch Loss= 2.0271, Training Accuracy= 66.667
Training: Step 7100, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7100, Minibatch Loss= 2.0319, Training Accuracy= 66.667
Training: Step 7150, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7150, Minibatch Loss= 2.0356, Training Accuracy= 66.667
Training: Step 7200, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7200, Minibatch Loss= 2.0393, Training Accuracy= 66.667
Training: Step 7250, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7250, Minibatch Loss= 2.0417, Training Accuracy= 66.667
Training: Step 7300, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7300, Minibatch Loss= 2.0506, Training Accuracy= 66.667
Training: Step 7350, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7350, Minibatch Loss= 2.0518, Training Accuracy= 66.667
Training: Step 7400, Minibatch Loss= 0.0000, Training Accuracy= 100.000
Validation: Step 7400, Minibatch Loss= 2.0484, Training Accuracy= 66.667
Training: Step 7450, Minibatch Loss= 0.0000, Training Accuracy= 100.000
